#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS|PosValue|coarseValue
#T_SP=webanno.custom.GuitarEntity|bridge_type|component_id|control_type|guitar_id|pickup_type|position|value
#T_SP=webanno.custom.Paragraph|kind
#T_RL=webanno.custom.HasPart|value|BT_webanno.custom.GuitarEntity


#Text=Fender Noventa Stratocaster
#Text=
#Text=Fender Noventa Stratocaster отличается от привычной конфигурации Stratocaster двумя крупными синглами типа P-90 и фиксированным бриджем.
1-1	0-6	Fender	*	PROPN	*[1]	*[1]	*[1]	GTR007[1]	*[1]	*[1]	GUITAR[1]	heading[8]	_	_	
1-2	7-14	Noventa	*	PROPN	*[1]	*[1]	*[1]	GTR007[1]	*[1]	*[1]	GUITAR[1]	heading[8]	_	_	
1-3	15-27	Stratocaster	*	PROPN	*[1]	*[1]	*[1]	GTR007[1]	*[1]	*[1]	GUITAR[1]	heading[8]	_	_	
1-4	29-35	Fender	*	PROPN	*[2]	*[2]	*[2]	GTR007[2]	*[2]	*[2]	GUITAR[2]	body[9]	_	_	
1-5	36-43	Noventa	*	PROPN	*[2]	*[2]	*[2]	GTR007[2]	*[2]	*[2]	GUITAR[2]	body[9]	_	_	
1-6	44-56	Stratocaster	*	PROPN	*[2]	*[2]	*[2]	GTR007[2]	*[2]	*[2]	GUITAR[2]	body[9]	_	_	
1-7	57-67	отличается	*	VERB	_	_	_	_	_	_	_	body[9]	_	_	
1-8	68-70	от	*	ADP	_	_	_	_	_	_	_	body[9]	_	_	
1-9	71-80	привычной	*	ADJ	_	_	_	_	_	_	_	body[9]	_	_	
1-10	81-93	конфигурации	*	NOUN	_	_	_	_	_	_	_	body[9]	_	_	
1-11	94-106	Stratocaster	*	PROPN	_	_	_	_	_	_	_	body[9]	_	_	
1-12	107-112	двумя	*	NUM	*[3]	GTR007\_PICKUP\_group\_all[3]	*[3]	*[3]	p90[3]	unknown[3]	PICKUP[3]	body[9]	HAS\_PART	1-4[2_3]	
1-13	113-121	крупными	*	ADJ	*[3]	GTR007\_PICKUP\_group\_all[3]	*[3]	*[3]	p90[3]	unknown[3]	PICKUP[3]	body[9]	_	_	
1-14	122-130	синглами	*	NOUN	*[3]	GTR007\_PICKUP\_group\_all[3]	*[3]	*[3]	p90[3]	unknown[3]	PICKUP[3]	body[9]	_	_	
1-15	131-135	типа	*	NOUN	*[3]	GTR007\_PICKUP\_group\_all[3]	*[3]	*[3]	p90[3]	unknown[3]	PICKUP[3]	body[9]	_	_	
1-16	136-137	P	*	NOUN	*[3]	GTR007\_PICKUP\_group\_all[3]	*[3]	*[3]	p90[3]	unknown[3]	PICKUP[3]	body[9]	_	_	
1-17	137-138	-	*	PUNCT	*[3]	GTR007\_PICKUP\_group\_all[3]	*[3]	*[3]	p90[3]	unknown[3]	PICKUP[3]	body[9]	_	_	
1-18	138-140	90	*	NUM	*[3]	GTR007\_PICKUP\_group\_all[3]	*[3]	*[3]	p90[3]	unknown[3]	PICKUP[3]	body[9]	_	_	
1-19	141-142	и	*	CCONJ	_	_	_	_	_	_	_	body[9]	_	_	
1-20	143-156	фиксированным	*	ADJ	fixed[4]	GTR007\_BRIDGE\_01[4]	*[4]	*[4]	*[4]	*[4]	BRIDGE[4]	body[9]	HAS\_PART	1-4[2_4]	
1-21	157-164	бриджем	*	NOUN	fixed[4]	GTR007\_BRIDGE\_01[4]	*[4]	*[4]	*[4]	*[4]	BRIDGE[4]	body[9]	_	_	
1-22	164-165	.	*	PUNCT	_	_	_	_	_	_	_	body[9]	_	_	

#Text=В обзоре показана версия в прозрачной красной отделке с чёрной накладкой на корпусе.
2-1	166-167	В	*	ADP	_	_	_	_	_	_	_	body[9]	_	_	
2-2	168-174	обзоре	*	NOUN	_	_	_	_	_	_	_	body[9]	_	_	
2-3	175-183	показана	*	VERB	_	_	_	_	_	_	_	body[9]	_	_	
2-4	184-190	версия	*	NOUN	_	_	_	_	_	_	_	body[9]	_	_	
2-5	191-192	в	*	ADP	_	_	_	_	_	_	_	body[9]	_	_	
2-6	193-203	прозрачной	*	ADJ	_	_	_	_	_	_	_	body[9]	_	_	
2-7	204-211	красной	*	ADJ	_	_	_	_	_	_	_	body[9]	_	_	
2-8	212-219	отделке	*	NOUN	_	_	_	_	_	_	_	body[9]	_	_	
2-9	220-221	с	*	ADP	_	_	_	_	_	_	_	body[9]	_	_	
2-10	222-228	чёрной	*	ADJ	_	_	_	_	_	_	_	body[9]	_	_	
2-11	229-238	накладкой	*	NOUN	_	_	_	_	_	_	_	body[9]	_	_	
2-12	239-241	на	*	ADP	_	_	_	_	_	_	_	body[9]	_	_	
2-13	242-249	корпусе	*	NOUN	_	_	_	_	_	_	_	body[9]	_	_	
2-14	249-250	.	*	PUNCT	_	_	_	_	_	_	_	body[9]	_	_	

#Text=На фотографии различимы оба звукоснимателя, бридж, две ручки управления и переключатель.
