,comment,toxic
0,"Ты забыл его хохлом обозвать, подсос.
",5.0
1,"Наша дума от слова пиздить. поэтому её можно называться пиздя
",6.0
2,"Чуркабес плес, иди трусы на рынке продавай, чмырь
",1.0
3,"Модераторы странные зверьки - меня за посыл одного индивида, он меня работать, а я его тоже, только туда где ему привычнее... Забанили... А когда я звал модеров на одного типчика зовущих всех дибилами и с вопросом от куда они берутся, на мой ответ что вот одного точно его мамка родила - забанили меня...
",0.0
4,"Что,ссыкотоно за свой язык отвечать? На моё мыло пиши фуфлыжник...
",5.0
5,"Хорош лицемерить вражина! Ты сам из того племени, потому и доволен всем! А укольчик подыхающему кролику от чумки за 1500 руб это совершенно нормально!!! При зарплате у пол-страны в 10 тыщ.
",5.0
6,"ути пути твоя подруга у тебя в штанах видит, но разве мне это тебе говорить? ты и сам это прекрасно знаешь
",5.0
7,"Зашел сказать, что хохлы подзалупный гной, которому скоро придет триумфальный пиздец. у меня все.
",1.0
8,"Господи, ты же больной человек. Мы уже выяснили, что это нихуя не умеешь в английский, потому что приволок ссылку на статью которая прямо опровергает твои слова, и не смог процитировать выдержки из этой статьи, только потому что НИХУЯ не умеешь в английский. А по поводу эстонского языка, я повторю для присутствующих здесь господ, что если бы я был лахтодыркой, мне не составило бы труда говорить через гуглопереводчик, ведь ты, говно, нихуя не сможешь оценить качество перевода. Утомил ты. Тебе лечиться нужно.
",5.0
9,"Бросила. Во время каждого занятия получала небольшие травмы, в последний раз при выполнении Сурьи Намаскар растянула связки на руке, боль была такая, что в первые секунды на перелом подумала. Теперь дома занимаюсь без напряга со стороны тренера.
",0.0
10,"Сука мои глаза кровоточат, про какой там нахуй тубик тебе посты делать, пяздуй за букварем срочно!!!!
",5.0
11,"У тебя в домашке мало букв, а мне надо много.
",0.0
12,"ну хз, значит до меня не дошел весь великий посыл в таком фильме, как груз-200. Значит я быдло тупое
",6.0
13,"Эта картинка старше тебя, свинюш. Будущее больно отдаленное выходит.
",5.0
