,comment,toxic
0,"Я не знаю как вы, но я не захожу в уже прочитанные посты по несколько раз, чтобы перечитать новые комментарии. Пишу свой, если кто-то отвечает, завязывается диалог. Куда там ветка ушла в обсуждениях не интересно. А вы избавляйтесь от депрессии - все комментарии пропитаны желчью, как будто речь не о законе и чьих-то загонах , а лично у вас отобрали право убивать младенцев и вы возмущены тем, что кому то можно, а вам вот нет.
",0.0
1,"да кто этот рапич лох и девочка вот кто
",5.0
2,"Где у вас закрыли родильные и детские отделения, что нужно ехать за 200 км? Знаю, что некоторые больницы закрыли так как туда обращений мало и ближайшие находится в 10-20км. Но про 200км впервые слышу.
",0.0
3,"Так у меня цены в тенге . Разделите сумму на 5 выйдет цена в рублях.
",0.0
4,"Тут как бы у человека проблема, а ты ерничаешь. Уж извини, но неадекваты вообще в дискуссии с психологической подоплекой не должны входить - они просто себя позорят некомпетентностью.
",6.0
5,"Всего 500км, почему они тоже не могут пользоваться этим спутником?
",0.0
6,"3. Лучше бы ты не судил людей по их внешнему виду, одежде, или по тому, как они говорят. Веди себя хорошо, ладно? Ах да, и вбей это в свою тупую башку: Женщина это личность. Мужчина это личность. А зануда это всегда зануда. Никто из людей не лучше других, за исключением умения модно одеваться извини уж, но Я одарил в этом смысле только женщин и лишь кое-кого из парней тех, кто отличает пурпурный от пунцового.
",6.0
7,"о ужас, не стерпела мужитская психика шума детского и вышел герой в бой неравный, супротив детей и женщин и прогнал он орду поганую на мороз жестокий...
",0.0
8,"Классический ватный дегенерат, то что всё, что импортируется, покупается за доллары и евро он не понимает.
",4.0
9,"когда ты вводишь какие-то сущности и наделяешь их свойствами не позволяющими наблюдать их и их действия никакими способами. Это не про диалектику, дебич. Никто там ничег оне вводит - всё берётся уже из того, что и так есть, из человеческого языка, понятий.
",5.0
10,"Так пиндосы скоро запоют - не стоит нас пугать, бахвалиться спесиво! Не стоит нам грозить и вновь с огнем играть! Но если вдруг русня проверит нашу силу, Её мы на всегда отучим проверять!
",1.0
11,"Весело ломать людям жизни ? В такие моменты я рад что пыня и компания скоро выебут всех вас в сраку. Будешь травить с регистрацией по паспорту чмо абоссаное. Сами превращаете интернет в помойку, сами же за это и получаете.
",4.0
12,"Мне вот другое интересно, где тысячная армия, подписоты, двух месячного аккаунта, когда их кумира так жестоко минусуют ? , не кажется ли вам странным количество, подписчиков у данного аккаунта (2.5 месяца отроду), ещё учитывая тот факт, что практически каждый его пост не соответствует - рейтинг подписота. Я уже не первый указываю, на странности этого аккаунта, что скажете, Модератор ?
",0.0
13,"Т.е. Псаки и ей подобные - это не пример? Это специально обученные тролли, со степенью Гарварда и работой притворяться тупой дурой. Плюс морда тупая, а то реально плюс на этой работе. Думаю, что в реале она раз в 10 круче нас шарит во всех областях.
",5.0
14,"о. а ты сарказм не понимаешь, да? врага поспорить ищешь? мне это нахрен не упало.
",5.0
15,"А почему жена не могла её послать туда же? Сказала: иди ка ты, пожилая неразумная женщина-вагина все туда же. И всё. Развернулась и ушла. А то стоит с маленьким ребенком и слушает. Мелочь тоже слушает и боится. Нет нет. Только на й. И погромче.
",0.0
16,"Что вы там вместо фидера собрались тулить? Там наболдашник будет пздц, плюс цевье. Вы хоть один маркер видели? Хватит тупить, страйкбол и пейнтбол разные вещи
",0.0
17,"По-моему это прокачка жопы головного мозга . Выглядит пугающе
",0.0
18,"Смысла говоришь нет. А сам то истово веруешь, отстаиваешь, тех кто не согласен, оскорбляешь.
",5.0
19,"Вы просто не умеете читать между строк.
",0.0
20,"1. Жидовка подтачивает государство. Никогда такого не было, ага. 2. Нахуй фемкам косметика для патриархалок , когда им нужно что-то типа кондиционеров для волос на теле? 3. В чем хамство лаша? На месте этой конторы, глядючи на эту харю, я бы даже и отвечать не стал. 4. Сделала много для фемок, открытую инсту не догадалась зарегать - ЭТО ШИН!!! И кстати почему ее феминоподсписочницы не зафоловили ее в этой инсте, сучки токсичные?
",1.0
21,"выдающий в целующем холопа, а в целуемом - тщеславного мудака. Зашоренное быдло эс из.
",5.0
22,"Ну так я же не предлагаю перекатываться на другие доски. Ты как раз таки предлагаешь перекатиться на другую доску - 2d . Я не очень понимаю, зачем нужно это копротивление, когда всё можно сделать нормально. Может потому что макака и мочерня охуели тем, что превратили b , доску без правил как бы, в анально-модерируемую хуйню? Какого хуя я должен идти в мертвый a или 2d с постингом 120 постов час и 30 постов час соответственно? Почему я должен пытаться оживлять то, что мертво? Куклы и кони вот нормально сидят и общаются в своих разделах. Ты видел rm ? 0 постов час. В mlp 5 постов в час. Охуенное общение. Уровень нонейм мелкоборд. Я это всё к чему, анимублядский не может жить в тематике, так как тематика всегда модерируется сильнее, чем b и в тематике есть правила. Как ты думаешь, почему в мп4 вебм тред в анимаче пошло максимум 30 от всех пидорнутых из анимублядского? Потому что там анальная модерация похуже нынешнего аниме-треда в b - это во-первых. Во-вторых - относительно низкий постинг и слабый приток новых лиц. В b же, анимублядский будет постоянно иметь нормальный постинг, новые аноны будут постоянно интересоваться, что это за анимублядский. Сам в 2015 зашел посмотреть, что это за тредик такой, и начал смотреть аниме и анимублядствовать. Сам даже две вебмки сделал.
",0.0
23,"нормальные аноны и с компа покапчуют. Нет уж, пидарашка, плавай в этой замусоренной мылопараше сам.
",1.0
