#FORMAT=WebAnno TSV 3.3


#Text=Не отрекаются любя.
1-1	0-2	Не	
1-2	3-13	отрекаются	
1-3	14-18	любя	
1-4	18-19	.	

#Text=Ведь жизнь кончается не завтра.
2-1	20-24	Ведь	
2-2	25-30	жизнь	
2-3	31-40	кончается	
2-4	41-43	не	
2-5	44-50	завтра	
2-6	50-51	.	

#Text=Я перестану ждать тебя, А ты придешь совсем внезапно.
3-1	52-53	Я	
3-2	54-63	перестану	
3-3	64-69	ждать	
3-4	70-74	тебя	
3-5	74-75	,	
3-6	76-77	А	
3-7	78-80	ты	
3-8	81-88	придешь	
3-9	89-95	совсем	
3-10	96-104	внезапно	
3-11	104-105	.	

#Text=Не отрекаются любя.
4-1	106-108	Не	
4-2	109-119	отрекаются	
4-3	120-124	любя	
4-4	124-125	.	

#Text=А ты придешь, когда темно, Когда в окно ударит вьюга, Когда припомнишь, как давно Не согревали мы друг друга.
5-1	126-127	А	
5-2	128-130	ты	
5-3	131-138	придешь	
5-4	138-139	,	
5-5	140-145	когда	
5-6	146-151	темно	
5-7	151-152	,	
5-8	153-158	Когда	
5-9	159-160	в	
5-10	161-165	окно	
5-11	166-172	ударит	
5-12	173-178	вьюга	
5-13	178-179	,	
5-14	180-185	Когда	
5-15	186-196	припомнишь	
5-16	196-197	,	
5-17	198-201	как	
5-18	202-207	давно	
5-19	208-210	Не	
5-20	211-220	согревали	
5-21	221-223	мы	
5-22	224-228	друг	
5-23	229-234	друга	
5-24	234-235	.	

#Text=Да, ты придешь, когда темно.
6-1	236-238	Да	
6-2	238-239	,	
6-3	240-242	ты	
6-4	243-250	придешь	
6-5	250-251	,	
6-6	252-257	когда	
6-7	258-263	темно	
6-8	263-264	.	

#Text=И так захочешь теплоты, Не полюбившейся когда-то, Что переждать не сможешь ты Трех человек у автомата.
7-1	265-266	И	
7-2	267-270	так	
7-3	271-279	захочешь	
7-4	280-287	теплоты	
7-5	287-288	,	
7-6	289-291	Не	
7-7	292-304	полюбившейся	
7-8	305-313	когда-то	
7-9	313-314	,	
7-10	315-318	Что	
7-11	319-328	переждать	
7-12	329-331	не	
7-13	332-339	сможешь	
7-14	340-342	ты	
7-15	343-347	Трех	
7-16	348-355	человек	
7-17	356-357	у	
7-18	358-366	автомата	
7-19	366-367	.	

#Text=Вот как захочешь теплоты!
8-1	368-371	Вот	
8-2	372-375	как	
8-3	376-384	захочешь	
8-4	385-392	теплоты	
8-5	392-393	!	

#Text=За это можно все отдать!
9-1	394-396	За	
9-2	397-400	это	
9-3	401-406	можно	
9-4	407-410	все	
9-5	411-417	отдать	
9-6	417-418	!	

#Text=И до того я в это верю, Что трудно мне тебя не ждать, Весь день не отходя от двери.
10-1	419-420	И	
10-2	421-423	до	
10-3	424-428	того	
10-4	429-430	я	
10-5	431-432	в	
10-6	433-436	это	
10-7	437-441	верю	
10-8	441-442	,	
10-9	443-446	Что	
10-10	447-453	трудно	
10-11	454-457	мне	
10-12	458-462	тебя	
10-13	463-465	не	
10-14	466-471	ждать	
10-15	471-472	,	
10-16	473-477	Весь	
10-17	478-482	день	
10-18	483-485	не	
10-19	486-492	отходя	
10-20	493-495	от	
10-21	496-501	двери	
10-22	501-502	.	

#Text=За это можно все отдать!
11-1	503-505	За	
11-2	506-509	это	
11-3	510-515	можно	
11-4	516-519	все	
11-5	520-526	отдать	
11-6	526-527	!	

#Text=Проигрыш Не отрекаются любя.
12-1	528-536	Проигрыш	
12-2	537-539	Не	
12-3	540-550	отрекаются	
12-4	551-555	любя	
12-5	555-556	.	

#Text=Ведь жизнь кончается не завтра.
13-1	557-561	Ведь	
13-2	562-567	жизнь	
13-3	568-577	кончается	
13-4	578-580	не	
13-5	581-587	завтра	
13-6	587-588	.	

#Text=Я перестану ждать тебя, А ты придешь совсем внезапно, Не отрекаются любя… Не отрекаются любя…
14-1	589-590	Я	
14-2	591-600	перестану	
14-3	601-606	ждать	
14-4	607-611	тебя	
14-5	611-612	,	
14-6	613-614	А	
14-7	615-617	ты	
14-8	618-625	придешь	
14-9	626-632	совсем	
14-10	633-641	внезапно	
14-11	641-642	,	
14-12	643-645	Не	
14-13	646-656	отрекаются	
14-14	657-661	любя	
14-15	661-662	…	
14-16	663-665	Не	
14-17	666-676	отрекаются	
14-18	677-681	любя	
14-19	681-682	…	
