name;short_name;tier;type;nation;prices_xp;price_credit;price_gold;is_gift;is_premium;is_premium_igr;is_wheeled;hp;hull_hp;hull_weight;weight;speed_forward;speed_backward;ammo.avg_penetration;ammo.avg_damage;dpm;gun.name;gun.fire_rate;gun.aim_time;engine.power;gun;engine;radio;turret;suspension;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;590;472;15000;28660;56;20;68;110;1346.40;76 mm L-11;12.24;2.9;500;4;261;1287;259;258;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;560;472;15000;27960;56;20;68;110;1100.00;76 mm L-11;10;2.9;500;4;261;1287;3;258;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;590;472;15000;28660;56;20;68;110;1346.40;76 mm L-11;12.24;2.9;500;4;261;1287;259;2;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;560;472;15000;27960;56;20;68;110;1100.00;76 mm L-11;10;2.9;500;4;261;1287;3;2;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;590;472;15000;28640;56;20;68;110;1346.40;76 mm L-11;12.24;2.9;500;4;261;775;259;258;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;560;472;15000;27940;56;20;68;110;1100.00;76 mm L-11;10;2.9;500;4;261;775;3;258;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;590;472;15000;28640;56;20;68;110;1346.40;76 mm L-11;12.24;2.9;500;4;261;775;259;2;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;560;472;15000;27940;56;20;68;110;1100.00;76 mm L-11;10;2.9;500;4;261;775;3;2;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;590;472;15000;28660;56;20;68;110;1346.40;76 mm L-11;12.24;2.9;480;4;5;1287;259;258;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;560;472;15000;27960;56;20;68;110;1100.00;76 mm L-11;10;2.9;480;4;5;1287;3;258;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;590;472;15000;28660;56;20;68;110;1346.40;76 mm L-11;12.24;2.9;480;4;5;1287;259;2;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;560;472;15000;27960;56;20;68;110;1100.00;76 mm L-11;10;2.9;480;4;5;1287;3;2;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;590;472;15000;28640;56;20;68;110;1346.40;76 mm L-11;12.24;2.9;480;4;5;775;259;258;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;560;472;15000;27940;56;20;68;110;1100.00;76 mm L-11;10;2.9;480;4;5;775;3;258;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;590;472;15000;28640;56;20;68;110;1346.40;76 mm L-11;12.24;2.9;480;4;5;775;259;2;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;560;472;15000;27940;56;20;68;110;1100.00;76 mm L-11;10;2.9;480;4;5;775;3;2;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;590;472;15000;28740;56;20;112;85;2217.65;57 mm ZiS-4;26.09;2.3;500;1284;261;1287;259;258;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;560;472;15000;28040;56;20;112;85;1500.25;57 mm ZiS-4;17.65;2.3;500;1284;261;1287;3;258;
T-34;T-34;5;mediumTank;ussr;[object Object];356700;0;false;false;false;false;590;472;15000;28740;56;20;112;85;2217.65;57 mm ZiS-4;26.09;2.3;500;1284;261;1287;259;2;
