image_name,Person,Dog,Is_person,breed
n02091635_1177.jpg,"[{'xtl': '0.92', 'ytl': '1.91', 'xbr': '49.92', 'ybr': '172.91'}, {'xtl': '50.86', 'ytl': '1.32', 'xbr': '99.86', 'ybr': '172.32'}]","[{'xtl': '26.52', 'ytl': '31.12', 'xbr': '119.30', 'ybr': '126.10'}]",True,otterhound
n02105855_6281.jpg,"[{'xtl': '207.00', 'ytl': '60.00', 'xbr': '371.00', 'ybr': '361.00'}, {'xtl': '122.00', 'ytl': '40.00', 'xbr': '267.00', 'ybr': '357.00'}]","[{'xtl': '192.08', 'ytl': '117.70', 'xbr': '373.30', 'ybr': '239.70'}]",True,Shetland sheepdog
n02106030_17179.jpg,"[{'xtl': '157.00', 'ytl': '51.00', 'xbr': '279.00', 'ybr': '453.00'}, {'xtl': '8.00', 'ytl': '43.00', 'xbr': '175.00', 'ybr': '461.00'}, {'xtl': '273.00', 'ytl': '21.00', 'xbr': '433.00', 'ybr': '461.00'}]","[{'xtl': '298.00', 'ytl': '275.00', 'xbr': '485.00', 'ybr': '480.00'}, {'xtl': '47.00', 'ytl': '262.00', 'xbr': '219.00', 'ybr': '479.00'}]",True,collie
n02106550_9508.jpg,"[{'xtl': '125.00', 'ytl': '37.00', 'xbr': '225.00', 'ybr': '240.00'}]","[{'xtl': '20.00', 'ytl': '14.00', 'xbr': '138.00', 'ybr': '274.00'}]",True,Rottweiler
n02107142_9597.jpg,"[{'xtl': '2.00', 'ytl': '207.00', 'xbr': '178.00', 'ybr': '500.00'}]","[{'xtl': '105.00', 'ytl': '365.00', 'xbr': '285.00', 'ybr': '500.00'}, {'xtl': '0.00', 'ytl': '304.00', 'xbr': '145.00', 'ybr': '498.00'}]",True,Doberman
n02108551_7523.jpg,"[{'xtl': '1.00', 'ytl': '28.00', 'xbr': '333.00', 'ybr': '329.00'}]","[{'xtl': '304.00', 'ytl': '131.00', 'xbr': '500.00', 'ybr': '329.00'}]",True,Tibetan mastiff
n02110185_5624.jpg,"[{'xtl': '157.00', 'ytl': '23.00', 'xbr': '500.00', 'ybr': '369.00'}]","[{'xtl': '23.00', 'ytl': '132.00', 'xbr': '336.00', 'ybr': '237.00'}]",True,Siberian husky
n02111277_4854.jpg,"[{'xtl': '253.00', 'ytl': '98.00', 'xbr': '499.00', 'ybr': '371.00'}, {'xtl': '0.00', 'ytl': '115.00', 'xbr': '238.00', 'ybr': '371.00'}]","[{'xtl': '214.50', 'ytl': '59.80', 'xbr': '347.60', 'ybr': '251.00'}]",True,Newfoundland
n02113023_3181.jpg,"[{'xtl': '107.00', 'ytl': '50.00', 'xbr': '343.00', 'ybr': '383.00'}]","[{'xtl': '34.00', 'ytl': '262.00', 'xbr': '315.00', 'ybr': '432.00'}]",True,Pembroke
n02115641_9302.jpg,"[{'xtl': '347.20', 'ytl': '105.49', 'xbr': '473.49', 'ybr': '369.20'}, {'xtl': '1.00', 'ytl': '0.00', 'xbr': '194.30', 'ybr': '370.00'}]","[{'xtl': '123.60', 'ytl': '178.10', 'xbr': '349.14', 'ybr': '372.00'}]",True,dingo
