BMW_1_Series_M_2011_1	MadeBy	BMW
BMW_1_Series_2011_2	MadeBy	BMW
BMW_1_Series_2011_3	MadeBy	BMW
BMW_1_Series_2011_4	MadeBy	BMW
BMW_1_Series_2011_5	MadeBy	BMW
BMW_1_Series_2012_6	MadeBy	BMW
BMW_1_Series_2012_7	MadeBy	BMW
BMW_1_Series_2012_8	MadeBy	BMW
BMW_1_Series_2012_9	MadeBy	BMW
BMW_1_Series_2013_10	MadeBy	BMW
BMW_1_Series_2013_11	MadeBy	BMW
BMW_1_Series_2013_12	MadeBy	BMW
BMW_1_Series_2013_13	MadeBy	BMW
BMW_1_Series_2013_14	MadeBy	BMW
BMW_1_Series_2013_15	MadeBy	BMW
BMW_1_Series_2013_16	MadeBy	BMW
BMW_1_Series_2013_17	MadeBy	BMW
Audi_100_1992_18	MadeBy	Audi
Audi_100_1992_19	MadeBy	Audi
Audi_100_1992_20	MadeBy	Audi
Audi_100_1992_21	MadeBy	Audi
Audi_100_1992_22	MadeBy	Audi
Audi_100_1993_23	MadeBy	Audi
Audi_100_1993_24	MadeBy	Audi
Audi_100_1993_25	MadeBy	Audi
Audi_100_1993_26	MadeBy	Audi
Audi_100_1993_27	MadeBy	Audi
Audi_100_1994_28	MadeBy	Audi
Audi_100_1994_29	MadeBy	Audi
Audi_100_1994_30	MadeBy	Audi
Audi_100_1994_31	MadeBy	Audi
Audi_100_1994_32	MadeBy	Audi
FIAT_124_Spider_2017_33	MadeBy	FIAT
FIAT_124_Spider_2017_34	MadeBy	FIAT
FIAT_124_Spider_2017_35	MadeBy	FIAT
Mercedes-Benz_190-Class_1991_36	MadeBy	Mercedes-Benz
Mercedes-Benz_190-Class_1991_37	MadeBy	Mercedes-Benz
Mercedes-Benz_190-Class_1992_38	MadeBy	Mercedes-Benz
Mercedes-Benz_190-Class_1992_39	MadeBy	Mercedes-Benz
Mercedes-Benz_190-Class_1993_40	MadeBy	Mercedes-Benz
Mercedes-Benz_190-Class_1993_41	MadeBy	Mercedes-Benz
BMW_2_Series_2016_42	MadeBy	BMW
BMW_2_Series_2016_43	MadeBy	BMW
BMW_2_Series_2016_44	MadeBy	BMW
BMW_2_Series_2016_45	MadeBy	BMW
BMW_2_Series_2016_46	MadeBy	BMW
BMW_2_Series_2016_47	MadeBy	BMW
BMW_2_Series_2016_48	MadeBy	BMW
BMW_2_Series_2016_49	MadeBy	BMW
BMW_2_Series_2016_50	MadeBy	BMW
BMW_2_Series_2017_51	MadeBy	BMW
BMW_2_Series_2017_52	MadeBy	BMW
BMW_2_Series_2017_53	MadeBy	BMW
BMW_2_Series_2017_54	MadeBy	BMW
BMW_2_Series_2017_55	MadeBy	BMW
BMW_2_Series_2017_56	MadeBy	BMW
BMW_2_Series_2017_57	MadeBy	BMW
BMW_2_Series_2017_58	MadeBy	BMW
Audi_200_1990_59	MadeBy	Audi
Audi_200_1990_60	MadeBy	Audi
Audi_200_1990_61	MadeBy	Audi
Audi_200_1991_62	MadeBy	Audi
Audi_200_1991_63	MadeBy	Audi
Audi_200_1991_64	MadeBy	Audi
