#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.BirdNER|canonical_form|label|species_id


#Text=Great tit\r
#Text=\r
#Text=The great tit is a small passerine bird in the tit family Paridae.
1-1	0-5	Great	_	_	_	
1-2	6-9	tit	_	_	_	
1-3	13-16	The	_	_	_	
1-4	17-22	great	Parus major[1]	BIRD\_SPECIES[1]	SP003[1]	
1-5	23-26	tit	Parus major[1]	BIRD\_SPECIES[1]	SP003[1]	
1-6	27-29	is	_	_	_	
1-7	30-31	a	_	_	_	
1-8	32-37	small	_	_	_	
1-9	38-47	passerine	_	_	_	
1-10	48-52	bird	_	_	_	
1-11	53-55	in	_	_	_	
1-12	56-59	the	_	_	_	
1-13	60-63	tit	_	_	_	
1-14	64-70	family	_	_	_	
1-15	71-78	Paridae	_	_	_	
1-16	78-79	.	_	_	_	

#Text=It is widespread and common throughout Europe, the Middle East, Central Asia and as far east as the Amur River.
2-1	80-82	It	_	_	_	
2-2	83-85	is	_	_	_	
2-3	86-96	widespread	_	_	_	
2-4	97-100	and	_	_	_	
2-5	101-107	common	_	_	_	
2-6	108-118	throughout	_	_	_	
2-7	119-125	Europe	*	HABITAT	*	
2-8	125-126	,	_	_	_	
2-9	127-130	the	*[2]	HABITAT[2]	*[2]	
2-10	131-137	Middle	*[2]	HABITAT[2]	*[2]	
2-11	138-142	East	*[2]	HABITAT[2]	*[2]	
2-12	142-143	,	_	_	_	
2-13	144-151	Central	*[3]	HABITAT[3]	*[3]	
2-14	152-156	Asia	*[3]	HABITAT[3]	*[3]	
2-15	157-160	and	_	_	_	
2-16	161-163	as	_	_	_	
2-17	164-167	far	_	_	_	
2-18	168-172	east	_	_	_	
2-19	173-175	as	_	_	_	
2-20	176-179	the	*[4]	HABITAT[4]	*[4]	
2-21	180-184	Amur	*[4]	HABITAT[4]	*[4]	
2-22	185-190	River	*[4]	HABITAT[4]	*[4]	
2-23	190-191	.	_	_	_	

#Text=It also occurs in parts of North Africa where it is generally resident in any sort of woodland.
3-1	192-194	It	_	_	_	
3-2	195-199	also	_	_	_	
3-3	200-206	occurs	_	_	_	
3-4	207-209	in	_	_	_	
3-5	210-215	parts	_	_	_	
3-6	216-218	of	_	_	_	
3-7	219-224	North	*[5]	HABITAT[5]	*[5]	
3-8	225-231	Africa	*[5]	HABITAT[5]	*[5]	
3-9	232-237	where	_	_	_	
3-10	238-240	it	_	_	_	
3-11	241-243	is	_	_	_	
3-12	244-253	generally	_	_	_	
3-13	254-262	resident	_	_	_	
3-14	263-265	in	_	_	_	
3-15	266-269	any	_	_	_	
3-16	270-274	sort	_	_	_	
3-17	275-277	of	_	_	_	
3-18	278-286	woodland	*	HABITAT	*	
3-19	286-287	.	_	_	_	

#Text=Most great tits do not migrate, except in extremely harsh winters.
4-1	288-292	Most	_	_	_	
4-2	293-298	great	_	_	_	
4-3	299-303	tits	_	_	_	
4-4	304-306	do	*[6]	BEHAVIOR[6]	*[6]	
4-5	307-310	not	*[6]	BEHAVIOR[6]	*[6]	
4-6	311-318	migrate	*[6]	BEHAVIOR[6]	*[6]	
4-7	318-319	,	_	_	_	
4-8	320-326	except	_	_	_	
4-9	327-329	in	*[7]	BEHAVIOR[7]	*[7]	
4-10	330-339	extremely	*[7]	BEHAVIOR[7]	*[7]	
4-11	340-345	harsh	*[7]	BEHAVIOR[7]	*[7]	
4-12	346-353	winters	*[7]	BEHAVIOR[7]	*[7]	
4-13	353-354	.	_	_	_	

#Text=Until 2005 this species was lumped with numerous other subspecies.
5-1	355-360	Until	_	_	_	
5-2	361-365	2005	_	_	_	
5-3	366-370	this	_	_	_	
5-4	371-378	species	_	_	_	
5-5	379-382	was	_	_	_	
5-6	383-389	lumped	_	_	_	
5-7	390-394	with	_	_	_	
5-8	395-403	numerous	_	_	_	
5-9	404-409	other	_	_	_	
5-10	410-420	subspecies	_	_	_	
5-11	420-421	.	_	_	_	

#Text=However, DNA studies have revealed that these subspecies are distinct from the great tit, and they have now been classified as two distinct species, the cinereous tit of southern Asia, and the Japanese tit of East Asia.
6-1	422-429	However	_	_	_	
6-2	429-430	,	_	_	_	
6-3	431-434	DNA	_	_	_	
6-4	435-442	studies	_	_	_	
6-5	443-447	have	_	_	_	
6-6	448-456	revealed	_	_	_	
6-7	457-461	that	_	_	_	
6-8	462-467	these	_	_	_	
