#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.BirdNER|canonical_form|label|species_id


#Text=Thrush nightingale\r
#Text=\r
#Text=The thrush nightingale, also known as the sprosser, is a small passerine bird in the Old World flycatcher family.
1-1	0-6	Thrush	_	_	_	
1-2	7-18	nightingale	_	_	_	
1-3	22-25	The	_	_	_	
1-4	26-32	thrush	Luscinia luscinia[1]	BIRD\_SPECIES[1]	SP007[1]	
1-5	33-44	nightingale	Luscinia luscinia[1]	BIRD\_SPECIES[1]	SP007[1]	
1-6	44-45	,	_	_	_	
1-7	46-50	also	_	_	_	
1-8	51-56	known	_	_	_	
1-9	57-59	as	_	_	_	
1-10	60-63	the	_	_	_	
1-11	64-72	sprosser	Luscinia luscinia	BIRD\_SPECIES	SP007	
1-12	72-73	,	_	_	_	
1-13	74-76	is	_	_	_	
1-14	77-78	a	_	_	_	
1-15	79-84	small	_	_	_	
1-16	85-94	passerine	_	_	_	
1-17	95-99	bird	_	_	_	
1-18	100-102	in	_	_	_	
1-19	103-106	the	_	_	_	
1-20	107-110	Old	_	_	_	
1-21	111-116	World	_	_	_	
1-22	117-127	flycatcher	_	_	_	
1-23	128-134	family	_	_	_	
1-24	134-135	.	_	_	_	

#Text=It is a migratory species breeding in forests in Europe and the Palearctic and overwintering in Africa.
2-1	136-138	It	_	_	_	
2-2	139-141	is	_	_	_	
2-3	142-143	a	_	_	_	
2-4	144-153	migratory	*[2]	BEHAVIOR[2]	*[2]	
2-5	154-161	species	*[2]	BEHAVIOR[2]	*[2]	
2-6	162-170	breeding	*	BEHAVIOR	*	
2-7	171-173	in	_	_	_	
2-8	174-181	forests	*[3]	HABITAT[3]	*[3]	
2-9	182-184	in	*[3]	HABITAT[3]	*[3]	
2-10	185-191	Europe	*[3]	HABITAT[3]	*[3]	
2-11	192-195	and	_	_	_	
2-12	196-199	the	*[4]	HABITAT[4]	*[4]	
2-13	200-210	Palearctic	*[4]	HABITAT[4]	*[4]	
2-14	211-214	and	_	_	_	
2-15	215-228	overwintering	*	BEHAVIOR	*	
2-16	229-231	in	_	_	_	
2-17	232-238	Africa	*	HABITAT	*	
2-18	238-239	.	_	_	_	

#Text=An insectivore, it nests near the ground in dense undergrowth.
3-1	240-242	An	_	_	_	
3-2	243-254	insectivore	_	_	_	
3-3	254-255	,	_	_	_	
3-4	256-258	it	_	_	_	
3-5	259-264	nests	*[5]	BEHAVIOR[5]	*[5]	
3-6	265-269	near	*[5]	BEHAVIOR[5]	*[5]	
3-7	270-273	the	*[5]	BEHAVIOR[5]	*[5]	
3-8	274-280	ground	*[5]	BEHAVIOR[5]	*[5]	
3-9	281-283	in	_	_	_	
3-10	284-289	dense	*[6]	HABITAT[6]	*[6]	
3-11	290-301	undergrowth	*[6]	HABITAT[6]	*[6]	
3-12	301-302	.	_	_	_	

#Text=Its distribution is more northerly than the very closely related common nightingale, which it closely resembles in appearance.
4-1	303-306	Its	_	_	_	
4-2	307-319	distribution	_	_	_	
4-3	320-322	is	_	_	_	
4-4	323-327	more	_	_	_	
4-5	328-337	northerly	_	_	_	
4-6	338-342	than	_	_	_	
4-7	343-346	the	_	_	_	
4-8	347-351	very	_	_	_	
4-9	352-359	closely	_	_	_	
4-10	360-367	related	_	_	_	
4-11	368-374	common	*[7]	BIRD\_SPECIES[7]	*[7]	
4-12	375-386	nightingale	*[7]	BIRD\_SPECIES[7]	*[7]	
4-13	386-387	,	_	_	_	
4-14	388-393	which	_	_	_	
4-15	394-396	it	_	_	_	
4-16	397-404	closely	_	_	_	
4-17	405-414	resembles	_	_	_	
4-18	415-417	in	_	_	_	
4-19	418-428	appearance	_	_	_	
4-20	428-429	.	_	_	_	

#Text=Hybrids between the two have occurred in areas where their ranges overlap.
5-1	430-437	Hybrids	_	_	_	
5-2	438-445	between	_	_	_	
5-3	446-449	the	_	_	_	
5-4	450-453	two	_	_	_	
5-5	454-458	have	_	_	_	
5-6	459-467	occurred	_	_	_	
5-7	468-470	in	_	_	_	
5-8	471-476	areas	_	_	_	
5-9	477-482	where	_	_	_	
5-10	483-488	their	_	_	_	
5-11	489-495	ranges	_	_	_	
5-12	496-503	overlap	_	_	_	
5-13	503-504	.	_	_	_	
