#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.BirdNER|canonical_form|label|species_id


#Text=Eurasian chaffinch\r
#Text=\r
#Text=The Eurasian chaffinch, common chaffinch, or simply the chaffinch is a common and widespread small passerine bird in the finch family.
1-1	0-8	Eurasian	_	_	_	
1-2	9-18	chaffinch	_	_	_	
1-3	22-25	The	_	_	_	
1-4	26-34	Eurasian	Fringilla coelebs[1]	BIRD\_SPECIES[1]	SP009[1]	
1-5	35-44	chaffinch	Fringilla coelebs[1]	BIRD\_SPECIES[1]	SP009[1]	
1-6	44-45	,	_	_	_	
1-7	46-52	common	Fringilla coelebs[2]	BIRD\_SPECIES[2]	SP009[2]	
1-8	53-62	chaffinch	Fringilla coelebs[2]	BIRD\_SPECIES[2]	SP009[2]	
1-9	62-63	,	_	_	_	
1-10	64-66	or	_	_	_	
1-11	67-73	simply	_	_	_	
1-12	74-77	the	_	_	_	
1-13	78-87	chaffinch	Fringilla coelebs	BIRD\_SPECIES	SP009	
1-14	88-90	is	_	_	_	
1-15	91-92	a	_	_	_	
1-16	93-99	common	_	_	_	
1-17	100-103	and	_	_	_	
1-18	104-114	widespread	_	_	_	
1-19	115-120	small	_	_	_	
1-20	121-130	passerine	_	_	_	
1-21	131-135	bird	_	_	_	
1-22	136-138	in	_	_	_	
1-23	139-142	the	_	_	_	
1-24	143-148	finch	_	_	_	
1-25	149-155	family	_	_	_	
1-26	155-156	.	_	_	_	

#Text=The male is brightly coloured with a blue-grey cap and rust-red underparts.
2-1	157-160	The	_	_	_	
2-2	161-165	male	_	_	_	
2-3	166-168	is	_	_	_	
2-4	169-177	brightly	_	_	_	
2-5	178-186	coloured	_	_	_	
2-6	187-191	with	_	_	_	
2-7	192-193	a	_	_	_	
2-8	194-203	blue-grey	*[3]	COLOR\_FEATURE[3]	*[3]	
2-9	204-207	cap	*[3]	COLOR\_FEATURE[3]	*[3]	
2-10	208-211	and	_	_	_	
2-11	212-220	rust-red	*[4]	COLOR\_FEATURE[4]	*[4]	
2-12	221-231	underparts	*[4]	COLOR\_FEATURE[4]	*[4]	
2-13	231-232	.	_	_	_	

#Text=The female is more subdued in colouring, but both sexes have two contrasting white wing bars and white sides to the tail.
3-1	233-236	The	_	_	_	
3-2	237-243	female	_	_	_	
3-3	244-246	is	_	_	_	
3-4	247-251	more	*[5]	COLOR\_FEATURE[5]	*[5]	
3-5	252-259	subdued	*[5]	COLOR\_FEATURE[5]	*[5]	
3-6	260-262	in	*[5]	COLOR\_FEATURE[5]	*[5]	
3-7	263-272	colouring	*[5]	COLOR\_FEATURE[5]	*[5]	
3-8	272-273	,	_	_	_	
3-9	274-277	but	_	_	_	
3-10	278-282	both	_	_	_	
3-11	283-288	sexes	_	_	_	
3-12	289-293	have	_	_	_	
3-13	294-297	two	*[6]	COLOR\_FEATURE[6]	*[6]	
3-14	298-309	contrasting	*[6]	COLOR\_FEATURE[6]	*[6]	
3-15	310-315	white	*[6]	COLOR\_FEATURE[6]	*[6]	
3-16	316-320	wing	*[6]	COLOR\_FEATURE[6]	*[6]	
3-17	321-325	bars	*[6]	COLOR\_FEATURE[6]	*[6]	
3-18	326-329	and	_	_	_	
3-19	330-335	white	*[7]	COLOR\_FEATURE[7]	*[7]	
3-20	336-341	sides	*[7]	COLOR\_FEATURE[7]	*[7]	
3-21	342-344	to	*[7]	COLOR\_FEATURE[7]	*[7]	
3-22	345-348	the	*[7]	COLOR\_FEATURE[7]	*[7]	
3-23	349-353	tail	*[7]	COLOR\_FEATURE[7]	*[7]	
3-24	353-354	.	_	_	_	

#Text=The male bird has a strong voice and sings from exposed perches to attract a mate.
4-1	355-358	The	_	_	_	
4-2	359-363	male	_	_	_	
4-3	364-368	bird	_	_	_	
4-4	369-372	has	*[8]	VOCALIZATION[8]	*[8]	
4-5	373-374	a	*[8]	VOCALIZATION[8]	*[8]	
4-6	375-381	strong	*[8]	VOCALIZATION[8]	*[8]	
4-7	382-387	voice	*[8]	VOCALIZATION[8]	*[8]	
4-8	388-391	and	_	_	_	
4-9	392-397	sings	*[9]	VOCALIZATION[9]	*[9]	
4-10	398-402	from	*[9]	VOCALIZATION[9]	*[9]	
4-11	403-410	exposed	*[9]	VOCALIZATION[9]	*[9]	
4-12	411-418	perches	*[9]	VOCALIZATION[9]	*[9]	
4-13	419-421	to	*[10]	BEHAVIOR[10]	*[10]	
4-14	422-429	attract	*[10]	BEHAVIOR[10]	*[10]	
4-15	430-431	a	*[10]	BEHAVIOR[10]	*[10]	
4-16	432-436	mate	*[10]	BEHAVIOR[10]	*[10]	
4-17	436-437	.	_	_	_	
