filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
cat.png,2143945,"{}",26,0,"{""name"":""polygon"",""all_points_x"":[272,309,335,287],""all_points_y"":[522,568,557,511]}","{""name"":""cat"",""category"":""entity"",""subcategory"":""neutral""}"
cat.png,2143945,"{}",26,1,"{""name"":""polygon"",""all_points_x"":[67,144,109,20],""all_points_y"":[351,448,468,361]}","{""name"":""villager"",""category"":""entity"",""subcategory"":""neutral""}"
cat.png,2143945,"{}",26,2,"{""name"":""polygon"",""all_points_x"":[1398,1467,1770,2492,2510,2369,2318,1800,1741,1763,1776],""all_points_y"":[988,570,392,581,1043,1128,1043,940,1102,1173,1298]}","{""name"":""composter"",""category"":""block"",""subcategory"":""device""}"
cat.png,2143945,"{}",26,3,"{""name"":""polygon"",""all_points_x"":[1781,1744,1792,2329,2554,2558],""all_points_y"":[1439,1101,936,1049,1398,1437]}","{""name"":""bed"",""category"":""item"",""subcategory"":""furniture""}"
cat.png,2143945,"{}",26,4,"{""name"":""polygon"",""all_points_x"":[2440,2493,2506,2455],""all_points_y"":[189,118,126,198]}","{""name"":""torch"",""category"":""item"",""subcategory"":""decorative""}"
cat.png,2143945,"{}",26,5,"{""name"":""polygon"",""all_points_x"":[509,773,1154,1197,1528,1528,1792,1770,1400,1463,1524,1080],""all_points_y"":[522,984,947,1326,1330,1437,1439,1284,990,579,531,359]}","{""name"":""garden"",""category"":""location"",""subcategory"":""building""}"
cat.png,2143945,"{}",26,6,"{""name"":""polygon"",""all_points_x"":[949,967,1112,1162,1175,1038,966],""all_points_y"":[255,196,192,222,401,440,400]}","{""name"":""ripe_wheat"",""category"":""block"",""subcategory"":""plant""}"
cat.png,2143945,"{}",26,7,"{""name"":""polygon"",""all_points_x"":[109,183,242,155],""all_points_y"":[300,396,394,292]}","{""name"":""cactus"",""category"":""block"",""subcategory"":""plant""}"
cat.png,2143945,"{}",26,8,"{""name"":""polygon"",""all_points_x"":[644,668,686,662],""all_points_y"":[191,248,248,189]}","{""name"":""villager"",""category"":""entity"",""subcategory"":""neutral""}"
cat.png,2143945,"{}",26,9,"{""name"":""polygon"",""all_points_x"":[2,72,1149,1195,1032,958,960,2],""all_points_y"":[1065,1045,947,1324,1332,1389,1441,1437]}","{""name"":""shield"",""category"":""item"",""subcategory"":""tool""}"
cat.png,2143945,"{}",26,10,"{""name"":""rect"",""x"":1038,""y"":1337,""width"":216,""height"":26}","{""name"":""health"",""category"":""ui"",""subcategory"":""""}"
cat.png,2143945,"{}",26,11,"{""name"":""rect"",""x"":1306,""y"":1339,""width"":216,""height"":18}","{""name"":""hunger"",""category"":""ui"",""subcategory"":""""}"
cat.png,2143945,"{}",26,12,"{""name"":""rect"",""x"":966,""y"":1387,""width"":52,""height"":46}","{""name"":""shield"",""category"":""item"",""subcategory"":""tool""}"
cat.png,2143945,"{}",26,13,"{""name"":""rect"",""x"":1045,""y"":1385,""width"":44,""height"":46}","{""name"":""stone_sword"",""category"":""item"",""subcategory"":""tool""}"
cat.png,2143945,"{}",26,14,"{""name"":""rect"",""x"":1101,""y"":1389,""width"":39,""height"":43}","{""name"":""stone_pickaxe"",""category"":""item"",""subcategory"":""tool""}"
cat.png,2143945,"{}",26,15,"{""name"":""rect"",""x"":1152,""y"":1387,""width"":41,""height"":46}","{""name"":""stone_shovel"",""category"":""item"",""subcategory"":""tool""}"
cat.png,2143945,"{}",26,16,"{""name"":""rect"",""x"":1204,""y"":1384,""width"":46,""height"":54}","{""name"":""stone_axe"",""category"":""tool"",""subcategory"":""""}"
cat.png,2143945,"{}",26,17,"{""name"":""rect"",""x"":1256,""y"":1393,""width"":48,""height"":41}","{""name"":""stone_hoe"",""category"":""item"",""subcategory"":""tool""}"
cat.png,2143945,"{}",26,18,"{""name"":""rect"",""x"":1315,""y"":1387,""width"":41,""height"":48}","{""name"":""bed"",""category"":"""",""subcategory"":""""}"
cat.png,2143945,"{}",26,19,"{""name"":""rect"",""x"":1365,""y"":1389,""width"":46,""height"":50}","{""name"":""torch"",""category"":"""",""subcategory"":""""}"
cat.png,2143945,"{}",26,20,"{""name"":""rect"",""x"":1426,""y"":1387,""width"":35,""height"":48}","{""name"":""chicken"",""category"":""item"",""subcategory"":""food""}"
cat.png,2143945,"{}",26,21,"{""name"":""rect"",""x"":1474,""y"":1389,""width"":41,""height"":43}","{""name"":""bread"",""category"":""item"",""subcategory"":""food""}"
cat.png,2143945,"{}",26,22,"{""name"":""polygon"",""all_points_x"":[124,2,4,85,146],""all_points_y"":[906,819,749,707,757]}","{""name"":""cane"",""category"":""block"",""subcategory"":""plant""}"
cat.png,2143945,"{}",26,23,"{""name"":""polygon"",""all_points_x"":[59,20,46,76],""all_points_y"":[538,488,486,525]}","{""name"":""torch"",""category"":""item"",""subcategory"":""decorative""}"
cat.png,2143945,"{}",26,24,"{""name"":""polygon"",""all_points_x"":[2,83,172,257,266,703,908,864,649,457,9],""all_points_y"":[640,618,714,673,573,414,259,113,139,207,257]}","{""name"":""village"",""category"":""location"",""subcategory"":""building""}"
cat.png,2143945,"{}",26,25,"{""name"":""polygon"",""all_points_x"":[2,1280,2554,2558,2292,2310,1781,1674,1519,1171,821,853,916,868,638,457,2],""all_points_y"":[63,41,59,205,189,150,152,303,398,331,364,326,263,118,133,207,252]}","{""name"":""ocean"",""category"":""location"",""subcategory"":""nature""}"
golem.png,3014618,"{}",25,0,"{""name"":""rect"",""x"":795,""y"":416,""width"":102,""height"":205}","{""name"":""iron_golem"",""category"":""entity"",""subcategory"":""neutral""}"
golem.png,3014618,"{}",25,1,"{""name"":""polygon"",""all_points_x"":[2114,2153,2207,2162],""all_points_y"":[400,320,326,405]}","{""name"":""villager"",""category"":""entity"",""subcategory"":""neutral""}"
golem.png,3014618,"{}",25,2,"{""name"":""polygon"",""all_points_x"":[1559,1570,1618,1637,1685,1700,1755,1781,1983,2011,2155,2558,2558,2477,1833,1824,1678,1696,1607],""all_points_y"":[577,573,581,566,572,551,560,518,570,607,649,720,884,803,666,721,692,633,610]}","{""name"":""river"",""category"":""location"",""subcategory"":""nature""}"
golem.png,3014618,"{}",25,3,"{""name"":""polygon"",""all_points_x"":[1241,1163,1230,1223,1372,1570,1515,1389],""all_points_y"":[433,462,466,481,514,440,422,425]}","{""name"":""river"",""category"":""location"",""subcategory"":""nature""}"
golem.png,3014618,"{}",25,4,"{""name"":""polygon"",""all_points_x"":[1681,1748,1815,1733],""all_points_y"":[875,664,677,892]}","{""name"":""torch"",""category"":""item"",""subcategory"":""tool""}"
golem.png,3014618,"{}",25,5,"{""name"":""polygon"",""all_points_x"":[316,729,923,1267,1411,1524,1408,1435,1685,1678,1829,1837,2012,2055,1822,1803,1533,1452,1215,1126,1121],""all_points_y"":[1115,895,1021,718,773,653,627,594,636,695,721,666,703,864,808,1062,958,1143,1021,1126,1045]}","{""name"":""garden"",""category"":""location"",""subcategory"":""building""}"
golem.png,3014618,"{}",25,6,"{""name"":""polygon"",""all_points_x"":[1606,1707,1652,1674,1776,1818,1741,1543,1371],""all_points_y"":[440,459,481,494,479,485,560,581,523]}","{""name"":""garden"",""category"":""location"",""subcategory"":""building""}"
golem.png,3014618,"{}",25,7,"{""name"":""polygon"",""all_points_x"":[9,203,237,276,405,525,605,720,908,934,1099,1130,1171,1249,975,712,220,0],""all_points_y"":[17,30,74,78,259,194,202,265,270,222,229,274,265,381,483,573,405,179]}","{""name"":""village"",""category"":""location"",""subcategory"":""building""}"
golem.png,3014618,"{}",25,8,"{""name"":""rect"",""x"":1028,""y"":1339,""width"":228,""height"":18}","{""name"":""heath"",""category"":""ui"",""subcategory"":""""}"
golem.png,3014618,"{}",25,9,"{""name"":""rect"",""x"":1300,""y"":1334,""width"":229,""height"":28}","{""name"":""hunger"",""category"":""ui"",""subcategory"":""""}"
golem.png,3014618,"{}",25,10,"{""name"":""rect"",""x"":956,""y"":1380,""width"":61,""height"":52}","{""name"":""shield"",""category"":""item"",""subcategory"":""tool""}"
golem.png,3014618,"{}",25,11,"{""name"":""rect"",""x"":1043,""y"":1384,""width"":50,""height"":50}","{""name"":""stone_sword"",""category"":""item"",""subcategory"":""tool""}"
golem.png,3014618,"{}",25,12,"{""name"":""rect"",""x"":1097,""y"":1380,""width"":48,""height"":52}","{""name"":""stone_pickaxe"",""category"":""item"",""subcategory"":""tool""}"
golem.png,3014618,"{}",25,13,"{""name"":""rect"",""x"":1152,""y"":1389,""width"":46,""height"":39}","{""name"":""stone_shovel"",""category"":""item"",""subcategory"":""tool""}"
golem.png,3014618,"{}",25,14,"{""name"":""rect"",""x"":1204,""y"":1386,""width"":39,""height"":47}","{""name"":""stone_axe"",""category"":""item"",""subcategory"":""tool""}"
golem.png,3014618,"{}",25,15,"{""name"":""rect"",""x"":1256,""y"":1389,""width"":44,""height"":41}","{""name"":""stone_hoe"",""category"":""item"",""subcategory"":""tool""}"
golem.png,3014618,"{}",25,16,"{""name"":""rect"",""x"":1310,""y"":1386,""width"":44,""height"":44}","{""name"":""seed"",""category"":""item"",""subcategory"":""food""}"
golem.png,3014618,"{}",25,17,"{""name"":""rect"",""x"":1364,""y"":1393,""width"":42,""height"":47}","{""name"":""torch"",""category"":"""",""subcategory"":""""}"
golem.png,3014618,"{}",25,18,"{""name"":""rect"",""x"":1411,""y"":1391,""width"":50,""height"":44}","{""name"":""chicken"",""category"":"""",""subcategory"":""""}"
golem.png,3014618,"{}",25,19,"{""name"":""rect"",""x"":1472,""y"":1385,""width"":46,""height"":52}","{""name"":""bread"",""category"":"""",""subcategory"":""""}"
golem.png,3014618,"{}",25,20,"{""name"":""polygon"",""all_points_x"":[2,1117,1145,1017,1019,954,956,2],""all_points_y"":[1139,1043,1332,1335,1372,1374,1437,1434]}","{""name"":""shield"",""category"":""item"",""subcategory"":""tool""}"
golem.png,3014618,"{}",25,21,"{""name"":""polygon"",""all_points_x"":[2011,2011,2044,2011,2096,2414,2547,2558],""all_points_y"":[1434,1380,1376,1080,1077,1032,1115,1437]}","{""name"":""wheat"",""category"":""item"",""subcategory"":""food""}"
golem.png,3014618,"{}",25,22,"{""name"":""polygon"",""all_points_x"":[2234,2225,2233,2299,2318],""all_points_y"":[377,411,416,427,387]}","{""name"":""composter"",""category"":""block"",""subcategory"":""device""}"
golem.png,3014618,"{}",25,23,"{""name"":""polygon"",""all_points_x"":[326,367,496,639,715,883,959,1102,1024],""all_points_y"":[10,200,207,205,234,247,217,215,0]}","{""name"":""badlands_mountains"",""category"":""location"",""subcategory"":""nature""}"
