audio_id,dataset,file_name,duration
circor_13918_AV,CirCor,13918_AV.wav,10.288
circor_13918_PV,CirCor,13918_PV.wav,9.392
circor_13918_TV,CirCor,13918_TV.wav,6.592
circor_13918_MV,CirCor,13918_MV.wav,28.784
circor_14241_AV,CirCor,14241_AV.wav,20.48
circor_14241_PV,CirCor,14241_PV.wav,21.296
circor_14241_TV,CirCor,14241_TV.wav,32.848
circor_14241_MV,CirCor,14241_MV.wav,20.048
circor_14998_AV,CirCor,14998_AV.wav,22.048
circor_14998_PV,CirCor,14998_PV.wav,20.592
circor_14998_TV,CirCor,14998_TV.wav,27.184
circor_14998_MV,CirCor,14998_MV.wav,22.784
circor_23625_AV,CirCor,23625_AV.wav,20.464
circor_23625_PV,CirCor,23625_PV.wav,30.64
circor_23625_TV,CirCor,23625_TV.wav,20.496
circor_23625_MV,CirCor,23625_MV.wav,21.28
circor_24160_AV,CirCor,24160_AV.wav,12.896
circor_24160_PV,CirCor,24160_PV.wav,11.68
circor_24160_TV,CirCor,24160_TV.wav,14.096
circor_24160_MV,CirCor,24160_MV.wav,22.592
circor_2530_AV,CirCor,2530_AV.wav,23.6
circor_2530_PV,CirCor,2530_PV.wav,13.056
circor_2530_TV,CirCor,2530_TV.wav,14.992
circor_2530_MV,CirCor,2530_MV.wav,26.688
circor_29045_AV,CirCor,29045_AV.wav,22.896
circor_29045_PV,CirCor,29045_PV.wav,21.296
circor_29045_TV,CirCor,29045_TV.wav,22.752
circor_29045_MV,CirCor,29045_MV.wav,20.496
circor_29378_AV,CirCor,29378_AV.wav,11.088
circor_29378_MV,CirCor,29378_MV.wav,17.488
circor_31737_AV,CirCor,31737_AV.wav,8.896
circor_31737_PV,CirCor,31737_PV.wav,14.944
circor_31737_TV,CirCor,31737_TV.wav,13.392
circor_31737_MV,CirCor,31737_MV.wav,14.8
circor_33151_AV,CirCor,33151_AV.wav,11.744
circor_33151_PV,CirCor,33151_PV.wav,19.792
circor_33151_TV,CirCor,33151_TV.wav,18.16
circor_33151_MV,CirCor,33151_MV.wav,15.28
circor_36327_AV,CirCor,36327_AV.wav,19.904
circor_36327_PV,CirCor,36327_PV.wav,20.256
circor_36327_TV,CirCor,36327_TV.wav,19.696
circor_36327_MV,CirCor,36327_MV.wav,20.992
circor_38337_AV,CirCor,38337_AV.wav,14.496
circor_38337_MV,CirCor,38337_MV.wav,18.688
circor_39043_AV,CirCor,39043_AV.wav,12.192
circor_39043_PV,CirCor,39043_PV.wav,12.896
circor_39043_TV,CirCor,39043_TV.wav,11.296
circor_39043_MV,CirCor,39043_MV.wav,23.68
circor_39403_AV,CirCor,39403_AV.wav,11.296
circor_39403_PV,CirCor,39403_PV.wav,18.192
