AnimeId;GenreId
1;1
1;2
1;4
1;8
1;24
1;29
5;1
5;8
5;7
5;24
5;29
6;1
6;24
6;2
6;4
6;8
6;27
7;1
7;7
7;39
7;37
7;8
7;16
8;2
8;10
8;27
8;37
15;1
15;30
15;4
15;27
16;4
16;8
16;43
16;22
16;36
17;36
17;4
17;30
17;27
18;1
18;3
18;30
18;8
18;42
19;8
19;14
19;7
19;39
19;40
19;42
19;41
20;1
20;2
20;4
20;31
20;17
20;27
21;1
21;2
21;4
21;31
21;8
21;10
21;27
22;1
22;4
22;30
22;23
22;27
23;1
23;27
23;30
24;4
24;22
24;23
24;27
25;1
25;2
25;4
25;9
25;24
25;27
26;1
26;24
26;40
26;8
27;1
27;37
27;32
28;4
28;27
29;1
29;38
29;24
29;13
29;8
29;42
30;1
30;24
30;5
30;40
30;8
30;18
31;8
31;18
31;40
31;24
32;24
32;5
32;40
32;8
32;18
33;1
33;2
33;6
33;8
33;10
33;14
33;38
33;22
33;42
33;37
43;1
43;18
43;39
43;40
43;24
43;42
44;1
44;13
44;8
44;22
44;17
44;21
44;27
45;1
45;2
45;4
45;13
45;22
45;21
45;27
46;21
46;13
46;8
46;27
47;1
47;38
47;24
47;2
47;14
47;37
47;42
48;11
48;24
48;2
48;7
48;16
48;10
49;4
49;16
49;22
49;42
49;37
50;4
50;37
50;16
50;22
50;42
51;1
51;8
51;22
51;25
51;37
52;24
52;4
52;30
52;8
52;27
53;35
53;36
53;4
53;8
53;22
53;42
54;1
54;38
54;24
54;39
54;8
54;18
54;27
55;1
55;2
55;10
55;14
55;24
56;2
56;10
56;24
56;27
57;4
57;8
57;19
57;27
57;36
58;2
58;22
58;18
58;38
58;24
58;14
58;29
58;8
59;24
59;4
59;8
59;22
59;9
59;42
60;1
60;6
60;13
60;22
60;27
60;37
61;1
61;4
61;16
61;22
61;10
61;23
61;25
62;8
62;35
62;16
62;22
63;24
63;35
63;4
63;22
63;9
63;27
64;1
64;4
64;8
64;16
64;42
65;1
65;4
65;8
65;16
65;42
66;36
66;4
66;23
67;1
67;2
67;13
67;37
67;22
67;21
67;10
68;24
68;2
68;4
68;31
68;27
69;1
69;10
69;38
69;24
71;1
71;38
71;24
71;4
71;18
72;1
72;4
72;23
73;1
73;38
73;18
74;4
74;23
74;25
74;31
75;1
75;8
75;18
75;38
75;24
76;1
76;4
76;8
76;16
76;31
77;1
77;4
77;8
77;16
77;31
79;35
79;4
79;8
79;16
79;22
79;9
79;10
79;23
79;42
80;1
80;38
80;24
80;29
80;18
81;2
81;8
81;18
81;38
81;22
81;24
82;38
82;24
82;29
82;8
82;18
83;38
83;24
83;8
83;22
83;18
84;38
84;24
84;2
84;29
84;8
84;22
84;18
85;38
85;24
85;29
85;8
85;22
85;18
86;29
86;4
86;18
86;38
86;8
86;24
87;38
87;24
87;29
87;8
87;18
88;8
88;18
88;38
88;24
88;29
89;8
89;18
89;38
89;24
89;29
90;1
90;38
90;24
90;29
90;8
90;18
91;1
91;8
91;18
91;38
91;24
91;29
92;24
92;2
92;29
92;8
92;18
93;1
93;8
93;18
93;38
93;22
93;24
93;29
94;1
94;8
94;18
94;38
94;22
94;24
94;29
95;1
95;38
95;24
95;2
95;29
95;8
95;22
95;18
96;2
96;4
96;8
96;17
96;18
96;22
96;24
96;29
96;30
97;1
97;24
97;2
98;1
98;4
98;8
98;10
98;16
98;18
98;22
98;23
98;26
99;4
99;8
99;10
99;16
100;4
100;8
100;10
100;16
100;22
100;25
100;31
101;36
101;37
101;8
101;22
102;4
102;8
102;22
102;25
103;2
103;4
103;10
103;16
103;22
103;25
104;2
104;4
104;14
104;40
104;37
104;8
104;22
104;25
105;36
105;4
105;22
105;27
106;8
106;22
106;23
106;25
107;2
107;4
107;10
107;24
107;27
108;2
108;10
108;40
108;4
108;27
109;2
109;4
109;18
109;24
110;1
110;4
110;8
110;27
111;24
111;2
111;4
111;16
112;1
112;9
112;2
112;10
112;16
112;4
112;31
112;24
113;1
113;18
113;22
113;24
113;29
114;4
114;23
114;27
115;2
115;4
115;10
116;2
116;4
116;22
116;10
117;2
117;4
117;22
117;10
118;2
118;4
118;10
119;4
119;8
119;22
119;36
120;36
120;4
120;37
120;8
120;22
120;25
121;1
121;2
121;4
121;8
121;10
121;16
121;38
121;27
122;19
122;4
122;37
122;8
122;22
122;25
123;2
123;10
123;16
123;17
123;4
123;22
123;13
123;8
123;25
124;2
124;10
124;22
124;8
124;25
125;4
125;22
125;23
126;4
126;8
126;22
127;1
127;24
127;4
127;10
127;18
127;27
128;1
128;8
128;18
128;24
128;27
129;1
129;2
129;4
129;6
129;8
129;27
129;37
130;1
130;2
130;4
130;6
130;8
130;43
130;37
131;1
131;2
131;4
131;6
131;8
131;43
131;37
132;1
132;4
132;8
132;7
132;27
132;31
132;37
133;4
133;9
133;22
133;23
133;36
134;1
134;40
134;38
134;8
134;24
135;4
135;11
135;27
135;37
136;1
136;2
136;31
136;10
136;27
137;1
137;2
137;31
137;27
138;1
138;2
138;31
138;10
138;27
139;1
139;2
139;31
139;10
139;27
141;18
141;24
142;2
142;4
142;6
142;8
142;10
142;16
142;7
142;22
142;25
143;37
143;8
143;16
143;22
143;18
143;27
143;26
144;8
144;22
144;36
144;37
145;4
145;8
145;22
145;23
145;25
145;36
146;24
146;4
146;8
146;16
146;22
146;9
147;8
147;22
147;36
148;8
148;22
148;36
149;1
149;7
149;37
149;8
149;22
149;10
149;43
149;28
150;1
150;38
150;7
150;14
150;37
150;8
150;32
151;1
151;24
151;4
151;9
151;26
152;1
152;24
152;31
153;1
153;2
153;10
153;16
153;37
154;1
154;2
154;4
154;31
154;37
154;27
155;1
155;8
155;10
155;14
155;16
155;24
155;37
156;1
156;31
156;8
156;16
156;22
156;10
156;25
157;4
157;9
157;10
157;35
157;16
157;22
157;23
157;27
157;31
157;37
158;36
158;8
158;22
158;25
158;26
159;2
159;10
159;14
159;18
159;40
159;24
159;27
159;29
159;37
160;2
160;8
160;10
160;38
160;24
161;1
161;4
161;13
161;21
161;27
162;4
162;10
162;15
162;22
162;23
162;27
163;2
163;4
163;10
163;13
163;27
164;1
164;2
164;10
165;1
165;8
165;18
165;19
165;7
165;40
165;22
165;24
166;13
166;18
166;21
166;24
167;24
167;2
167;4
167;8
167;10
167;18
167;27
168;1
168;24
168;2
168;31
168;8
169;1
169;14
169;7
169;22
169;31
169;37
169;32
170;4
170;8
170;23
170;27
170;30
171;2
171;8
171;10
173;7
173;4
173;13
173;6
173;37
173;8
173;27
174;1
174;9
174;17
174;4
174;31
174;23
174;27
175;1
175;2
175;22
175;24
175;27
175;31
176;2
176;22
177;1
177;2
177;10
177;16
177;22
177;37
177;27
178;4
178;16
178;22
178;23
178;25
179;4
179;16
179;22
179;23
180;1
180;9
180;18
180;24
180;27
180;29
181;1
181;9
181;18
181;24
181;27
181;29
182;2
182;40
182;22
182;10
182;18
183;23
183;27
183;30
184;1
184;18
184;24
184;27
184;29
185;1
185;3
185;8
185;42
185;30
186;1
186;3
186;8
186;42
186;30
187;1
187;3
187;30
187;8
187;22
187;42
189;4
189;9
189;35
189;22
189;27
189;36
190;4
190;8
190;9
190;22
190;27
191;36
191;4
191;22
192;2
192;4
192;22
193;4
193;8
193;9
193;35
193;16
193;22
193;23
194;2
194;18
194;38
194;24
194;27
195;24
195;4
195;8
195;22
195;23
196;4
196;8
196;35
196;23
196;24
197;24
197;4
197;22
197;9
197;23
198;1
198;7
198;31
199;2
199;37
199;8
200;4
200;16
200;22
200;27
201;4
201;8
201;9
201;22
202;1
202;2
202;8
202;10
202;7
202;24
204;1
204;4
204;9
204;35
204;31
205;1
205;2
205;4
205;13
205;21
205;27
206;1
206;2
206;8
206;16
206;22
206;10
207;1
207;2
207;10
207;16
207;27
207;37
208;1
208;24
208;2
208;7
208;13
208;16
209;1
209;24
209;2
209;4
209;31
209;8
210;36
210;4
210;17
210;10
210;27
212;1
212;2
212;4
212;18
212;24
212;31
215;4
215;22
216;4
216;22
218;1
218;4
218;18
218;38
218;20
218;22
218;24
218;27
218;29
219;1
219;4
219;8
219;18
219;40
219;24
219;27
219;29
222;1
222;2
222;4
222;7
222;24
223;2
223;4
223;10
223;17
223;27
223;31
225;1
225;24
225;2
225;4
225;31
225;16
225;10
225;27
226;1
226;14
226;40
226;37
226;8
226;22
226;42
227;1
227;24
227;4
227;20
227;5
227;40
227;18
228;7
228;14
228;40
228;37
229;4
229;20
229;17
230;1
230;4
230;17
230;42
231;1
231;4
231;37
231;10
231;42
232;2
232;4
232;8
232;16
232;22
232;10
232;23
232;25
233;4
233;24
233;25
234;2
234;30
234;27
235;2
235;7
235;4
235;39
235;27
236;2
236;4
236;8
236;38
236;24
236;27
236;37
237;2
237;8
237;18
237;22
237;24
238;1
238;2
238;17
238;27
238;31
239;8
239;7
239;24
239;37
239;41
240;36
240;4
240;20
241;35
241;4
241;22
241;9
241;10
241;23
241;27
242;36
242;4
242;8
242;23
242;43
243;4
243;19
243;22
243;25
243;28
244;13
244;7
245;36
245;4
245;8
245;23
245;27
246;2
246;4
246;10
246;22
246;27
247;10
247;16
247;37
247;6
247;13
247;25
248;4
248;9
248;35
248;22
248;27
249;1
249;2
249;4
249;13
249;6
249;37
249;16
249;22
249;10
249;27
250;2
250;4
250;6
250;37
250;16
250;27
251;2
251;4
251;6
251;10
251;25
252;38
252;7
252;40
252;37
252;8
252;16
252;27
253;36
253;4
253;23
254;4
254;36
255;36
255;4
256;24
256;29
256;8
256;22
256;18
257;9
257;31
257;17
257;23
258;14
258;8
258;32
259;4
259;35
259;22
259;23
260;4
260;8
260;35
260;22
260;36
261;4
261;35
261;22
261;36
262;4
262;35
262;22
262;23
263;4
263;30
263;8
263;27
264;4
264;27
264;30
265;4
265;30
265;27
266;8
266;18
266;38
266;22
266;24
266;27
266;36
267;1
267;8
267;24
267;42
267;31
268;2
268;4
268;9
269;1
269;2
269;4
269;31
269;37
269;27
270;1
270;14
270;37
270;32
270;42
271;24
271;2
271;18
271;27
272;1
272;7
272;8
273;36
273;8
273;16
273;27
274;1
274;24
274;31
274;9
274;18
275;9
275;4
275;35
275;22
276;4
276;9
276;38
276;22
276;24
277;38
277;24
277;4
277;8
277;22
277;9
278;1
278;24
278;4
278;27
279;10
279;13
279;14
279;7
279;40
279;37
280;2
280;4
280;10
280;25
281;4
281;18
281;22
282;1
282;7
282;8
282;22
282;42
283;36
283;13
283;8
284;1
284;8
284;38
284;22
284;27
285;1
285;2
285;8
285;18
285;38
285;24
286;2
286;18
286;24
286;27
287;1
287;30
287;17
287;27
288;1
288;24
288;2
288;4
288;30
288;27
289;4
289;8
290;1
290;38
290;24
290;29
290;22
291;4
291;35
291;22
291;37
291;8
292;8
292;27
292;30
293;4
293;10
293;24
294;2
294;4
294;8
294;18
294;38
294;24
294;29
295;2
295;8
295;18
295;38
295;24
295;29
296;1
296;24
296;2
296;4
296;10
296;23
296;27
297;1
297;9
297;2
297;4
297;27
298;2
298;4
298;10
298;11
298;24
298;27
299;11
299;7
299;24
300;1
300;6
300;10
300;14
300;22
301;1
301;2
301;7
301;4
301;42
302;2
302;8
302;24
303;4
303;16
303;37
304;4
304;16
304;22
304;42
304;37
305;1
305;4
305;27
306;4
306;20
306;9
306;10
307;15
307;10
307;4
308;24
308;7
308;8
308;10
308;27
309;4
309;16
309;20
310;4
310;37
311;30
311;8
311;22
311;23
311;25
312;1
312;30
312;8
313;30
313;8
313;22
313;23
313;25
314;8
314;25
314;30
315;1
315;8
315;10
315;22
317;1
317;31
317;10
318;4
318;9
318;35
318;22
318;24
319;9
319;10
319;4
319;22
321;1
321;9
321;4
321;24
322;4
322;8
322;43
322;22
322;36
323;7
323;5
323;39
323;40
323;37
323;8
323;41
324;4
324;18
324;39
324;24
325;36
325;8
325;22
325;23
325;25
326;14
326;43
326;7
326;37
327;4
327;16
327;10
327;25
328;19
328;36
328;8
328;22
328;25
329;8
329;22
329;24
329;42
329;29
330;4
330;8
330;22
330;9
330;27
331;2
331;4
331;16
331;10
331;27
332;2
332;4
332;16
332;10
332;27
333;4
333;8
333;24
334;4
334;8
334;22
334;25
335;4
335;16
335;7
335;27
335;37
336;10
336;25
337;4
337;22
337;37
338;38
338;13
338;8
338;22
338;25
339;5
339;8
339;7
339;40
339;24
339;37
340;1
340;13
340;17
340;21
340;27
341;8
341;7
341;27
342;8
342;38
342;24
342;29
343;4
343;22
343;32
343;10
343;42
344;24
344;37
344;8
344;23
345;36
345;13
345;8
345;22
345;42
346;8
346;35
346;22
346;23
346;36
347;1
347;24
347;2
347;16
347;32
347;10
348;4
348;10
348;16
348;36
349;37
349;8
349;16
349;10
350;4
350;16
351;4
351;16
351;25
352;16
352;10
352;4
352;25
353;4
353;16
353;25
354;4
354;9
354;16
354;24
355;1
355;8
355;10
355;22
355;23
355;37
356;1
356;37
356;16
356;22
356;10
357;4
357;16
357;9
358;8
358;22
358;24
359;1
359;30
359;23
359;27
360;2
360;37
360;8
360;10
361;22
361;8
362;22
