file;isStanding;isSitting;isAttacking
doberman_1.png;false;false;true
doberman_2.webp;false;true;false
doberman_3.jpg;true;false;false
corgi_1.webp;false;false;true
corgi_2.jpg;false;true;false
corgi_3.jpg;true;false;false
labrador_1.jpg;false;false;true
labrador_2.jpg;false;true;false
labrador_3.jpg;true;false;false
shepherd_1.jpg;false;false;true
shepherd_2.jpg;false;true;false
shepherd_3.jpg;true;false;false
pitbull_1.wepb;false;false;true
pitbull_2.jpg;false;true;false
pitbull_3.wepb;true;false;false
rottweiler_1.webp;false;false;true
rottweiler_2.jpeg;false;true;false
rottweiler_3.jpg;true;false;false
